Organization Name,Legacy_Account_ID,Contact ID,ACT_LegacyID,MembershipWorks_ID,Contact Name,Address,City,State,Postal Code,Country,Email Address,Phone,Website,Self-Study Enrollment Date,Self-Study Expires,Award Date,Award Expiration,County,Licensed Capacity,Number of Classrooms,Number of Staff,Days of Operation,Hours of Operation,Accredited Program,Affiliate Membership,accredited_program,Join Date
First Presbyterian Preschool,,,,5dfaa509e79c695b3b30e0a1,Sandra Ybarra,1200 S. Collins St.,Arlington,TX,76010,US,fpps@fppsarlington.com,817-274-4051,www.fppsarlington.com/,2/7/2018,2/7/2020,12/5/2019,12/5/2023,Tarrant,100,10,17,M-F,7:00 - 5:30,Accredited Program,,accredited_program,15-Dec-09
First United Methodist Preschool,,,,5dfaa509e79c695b3b30e0a2,Sandy Pennington,1201 Lavaca St.,Austin,TX,78701,US,preschool@fumcaustin.org,512-478-5709,www.fumcaustin.org/preschool,3/5/2018,3/5/2020,3/8/2016,3/8/2020,Travis,85,6,21,M-F,8:15 - 2:30,Accredited Program,,accredited_program,27-Aug-10
Next Generation Child Care Center,,,,5dfaa509e79c695b3b30e0a3,Sandy White,5320 S. Pennsylvania Ave.,Oklahoma City,OK,73119,US,bev.wells@coxinet.net,405-688-0060,,3/13/2019,3/13/2021,3/13/2017,3/13/2021,Oklahoma,147,6,11,M-F,6:00 - 6:00,Accredited Program,,accredited_program,
Cambridge School,,,,5dfaa509e79c695b3b30e0a4,Sara McMichael,1920 Royal Fern Drive,Wellington,FL,33414,US,smcmichael@cambridgepreschools.com;dgoetz@cambridgepreschools.com,561-791-0013,www.cambridgepreschools.com,11/9/2016,11/9/2018,12/14/2018,12/14/2022,Palm Beach,252,17,36,M-F,7:00 - 6:00,Accredited Program,,accredited_program,3-Mar-04
Plymouth Children's Center INC 2,,,,5dfaa50ae79c695b3b30e0a5,Sara Trewyn,200 S. Pine St.,Burlington,WI,53105,US,pccb2@sbcglobal.net,262-763-5482,www.plymouthchildren.com,7/12/2018,7/12/2020,5/8/2019,5/8/2023,Racine,50,5,13,M-F,6:00 - 6:00,Accredited Program,,accredited_program,30-May-07
KinderCare Learning Center #000136,,,,5dfaa50ae79c695b3b30e0a6,Sarah Henson,838 N. Quentin Road,Palatine,IL,60067,US,000136@kindercare.com;sahenson@kindercare.com,847-359-2229,www.kindercare.com/,1/20/2017,1/20/2019,12/20/2018,12/20/2022,Cook,103,6,14,M-F,6:30 - 6:00 M-F,Accredited Program,,accredited_program,14-Mar-07
Mill Avenue School,,,,5dfaa50ae79c695b3b30e0a7,Sarah Richards,4431 S. Mill Ave.,Tempe,AZ,85282,US,kelli.m@lcjbinc.com,480.839.3306,www.smallmiraclesaz.com,7/22/2019,7/22/2021,7/20/2017,7/20/2021,Maricopa,118,6,11,M-F,6:00 - 6:30,Accredited Program,,accredited_program,15-Jul-99
Ebenezer Child Care Centers-Wauwatosa,,,,5dfaa50ae79c695b3b30e0a8,Sarah Rushford,1136 S. 108th St,West Allis,WI,53214,US,srushford@ebenezerchildcare.com,414-210-4541,www.ebenezerchildcare.com/wauwatosa.html,2/13/2017,2/13/2019,3/12/2018,3/12/2022,Milwaukee,95,4,10,M-F,6:00 - 6:00,Accredited Program,,accredited_program,9-Feb-09
La Causa Early Education Center,,,,5dfaa50ae79c695b3b30e0a9,Sarah Smith,809 W. Greenfield Ave.,Milwaukee,WI,53204,US,sarahsm@lacausa.org,414-647-5980,,3/1/2019,3/1/2021,10/24/2016,10/24/2020,Milwaukee,217,10,26,M-F,5:30 - 6:00,Accredited Program,,accredited_program,21-Sep-10
Rochelle Enrichment Center,,,,5dfaa50ae79c695b3b30e0aa,Sarah Thuestad,1010 N. 15th St.,Rochelle,IL,61068,US,sarahrccc@rochelle.net;rocchild@rochelle.net,815-562-5920,Rochelle-childcare.com,6/13/2016,6/13/2018,4/17/2018,4/17/2022,Ogle,133,8,16,M-F,6:00 - 6:00,Accredited Program,,accredited_program,31-Oct-03
Little People's Country Academy of Arts and Education,,,,5dfaa50ae79c695b3b30e0ab,Sarah Weston,201 W. Hillgrove Ave,La Grange,IL,60525,US,admin@littlepeoplescountry.com,708-352-0609,littlepeoplescountry.com,4/20/2017,4/20/2019,2/1/2019,2/1/2023,Cook,133,7,26,M-F,6:30 - 6:00,Accredited Program,,accredited_program,30-Oct-13
Jo's Learning Academy-W. Greenfield,,,,5dfaa50ae79c695b3b30e0ac,Schnell Price and Tischa Brown,3027 W. Greenfield Ave.,Milwaukee,WI,53215,US,tischab@jla1.com;maryh@joslearningacademy.com,414-384-7825,josdaycareacademy.org,10/24/2019,10/24/2021,12/20/2017,12/20/2021,Milwaukee,113,8,22,M-F,6:15 - 5:30,Accredited Program,,accredited_program,13-Dec-12
Jo's Learning Academy-W. North Ave,,,,5dfaa50ae79c695b3b30e0ad,Schnell Price and Tischa Brown,4801 W. North Ave.,Milwaukee,WI,53208,US,tischab@jla1.com,414-873-8940,josdaycareacademy.org,2/24/2016,2/24/2018,3/7/2018,3/7/2022,Milwaukee,151,15,20,M-F,7:00 - 5:30,Accredited Program,,accredited_program,13-Dec-12
Del Valle Child Development Center,,,,5dfaa50ae79c695b3b30e0ae,Scott Wille,"5301 Ross Road, Ste. G",Del Valle,TX,78617,US,scott.wille@dvisd.net,512-386-3727,,4/17/2018,4/17/2020,4/6/2016,4/6/2020,Travis,203,14,34,M-F,6:45 - 5:15,Accredited Program,,accredited_program,3-May-10
KinderCare Learning Center #301200,,,,5dfaa50ae79c695b3b30e0af,Shahnazz Jones-Hays,12040 McCormick Road,Jacksonville,FL,32225,US,301200@kindercare.com,904-641-1812,kindercare.com,9/4/2018,9/4/2020,7/29/2016,7/29/2020,Duval,135,8,10,M-F,6:15 - 6:30,Accredited Program,,accredited_program,26-Oct-04
KinderCare Learning Center #301846,,,,5dfaa50ae79c695b3b30e0b0,Shamanda Burgess,6537 Vista Park Blvd.,Orlando,FL,32829,US,301846@klcorp.com;sburgess@kindercare.com,407-275-0396,www.kindercare.com,3/8/2018,3/8/2020,3/11/2016,3/11/2020,Orange,151,10,18,M-F,6:30 - 6:30,Accredited Program,,accredited_program,19-Jan-10
Easter Seals Florida Teen Parent South,,,,5dfaa50ae79c695b3b30e0b1,Shamma De Jesus,2803 John Sherman Way - Hwy 41,Ruskin,FL,33570,US,shammadejesus@gmail.com,813-769-5921,,6/28/2018,6/28/2020,7/5/2016,7/5/2020,Hillsborough,45,2,5,M-F,7:00 - 3:45,Accredited Program,,accredited_program,8-Aug-11
KinderCare Learning Center #300828,,,,5dfaa50ae79c695b3b30e0b2,Shaneek Hill,203 Kilmayne Drive,Cary,NC,27511,US,300828@klcorp.com,919-469-8790,www.kindercare.com/,2/6/2018,2/6/2020,2/12/2016,2/12/2020,Wake,127,7,16,M-F,6:30 - 6:30,Accredited Program,,accredited_program,
Olive's Lil' Angels Learning Center,,,,5dfaa50ae79c695b3b30e0b3,Shaneka N. Hogg,1021 N. Joe Wilson Road,Cedar Hill,TX,75104,US,oliveslilangels@sbcglobal.net,972-291-1441,oliveslilangels.org,10/26/2019,10/26/2021,10/26/2017,10/26/2021,Dallas,128,9,9,M-F,6:00 - 6:00,Accredited Program,,accredited_program,9-Mar-09
Aunt Faye Early Learning Academy,,,,5dfaa50ae79c695b3b30e0b4,Shaniqua Robinson,2638 S. Beckley Ave.,Dallas,TX,75224,US,auntfaye0231@yahoo.com,214-948-8684,,11/9/2017,11/9/2019,10/2/2019,10/2/2023,Dallas,49,4,8,M-F,6:00-6:00,Accredited Program,,accredited_program,16-Nov-09
KinderCare Learning Center #301264,,,,5dfaa50ae79c695b3b30e0b5,Shannon All,1701 W. Timberlane Drive,Plant City,FL,33566,US,301264@kindercare.com,813-754-5264,www.kindercare.com/,11/10/2017,11/10/2019,11/11/2015,2/7/2020,Hillsborough,135,8,23,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
KinderCare Learning Center #000073,,,,5dfaa50ae79c695b3b30e0b6,Shannon Cieslinski,130 Barbers Corner,Bolingbrook,IL,60440,US,000073@kindercare.com,630-739-0129,www.kindercare.com/,3/29/2019,3/29/2021,4/3/2017,4/3/2021,Will,132,8,18,M-F,6:00 - 6:00,Accredited Program,,accredited_program,14-May-10
"Academy of Little Achievers, Inc.",,,,5dfaa50ae79c695b3b30e0b7,Shannon Clark,4344 Pinnacle St.,Port Charlotte,FL,33980,US,academyoflittleachievers@comcast.net,941-743-5262,www.academyoflittleachievers.com,10/8/2019,10/8/2021,11/3/2017,11/3/2021,Charlotte,86,9,22,M-F,6:30 - 6:00,Accredited Program,,accredited_program,23-Feb-09
Harlem Community Center Hand-n-Hand Child Care,,,,5dfaa50ae79c695b3b30e0b8,Shannon Scheffel and Laura Rosenwinkel,9350 Forest Hills Road,Loves Park,IL,61111,US,shannon@harlemcommunity.org,815-633-7440,,9/15/2015,9/15/2017,1/18/2018,1/18/2022,Winnebago,177,11,45,M-F,6:15 - 5:45,Accredited Program,,accredited_program,16-Sep-15
Growing Tree Learning Center,,,,5dfaa50ae79c695b3b30e0b9,Shannon Springer,14201 S. Elwood,Glenpool,OK,74033,US,sfsspringer@yahoo.com,918-322-9091,growingtreelearningcenter@yahoo.com,1/23/2017,1/23/2019,1/7/2019,1/7/2023,Tulsa,175,9,26,M-F,6:00 - 6:00,Accredited Program,,accredited_program,28-Nov-05
Country Home Learning Center #7,,,,5dfaa50ae79c695b3b30e0ba,Shanon Martinez,6900 Escarpment Blvd.,Austin,TX,78749,US,ch7.countryhome@gmail.com,512-288-8220,countryhomelearningcenter.com,4/18/2017,4/18/2019,1/31/2019,1/31/2023,Travis,310,14,35,M-F,6:30 - 6:30,Accredited Program,,accredited_program,29-Oct-12
"Escuela Preparatoria Para Ninos (La Casa de Esperanza, Inc.)",,,,5dfaa50ae79c695b3b30e0bb,Denise Green,410 Arcadian Ave.,Waukesha,WI,53186,US,dgreen@lacasadeesperanza.org,262-832-1579,www.lacasadeesperanza.org/,6/26/2017,6/26/2019,1/24/2019,1/24/2023,Waukesha,210,17,39,M-F,6:00a - 12:00a,Accredited Program,,accredited_program,13-Jan-12
"King's Kids Christian Academy of Tampa, Inc.",,,,5dfaa50ae79c695b3b30e0bc,Sharon E. Miller,3000 N. 34th St.,Tampa,FL,33605,US,kkcatampa@gmail.com,813-666-1568,kkcatampa.org,11/15/2016,11/15/2018,1/7/2019,1/7/2023,Hilllsborough,187,9,8,M-F,6:30 - 6:00,Accredited Program,,accredited_program,
Keystone Learning Academy,,,,5dfaa50ae79c695b3b30e0bd,Sharon Hemingway,1705 S. 13th St.,Louisville,KY,40210,US,iccc1@bellsouth.net,502-637-3671,,7/3/2017,7/3/2019,6/7/2019,6/7/2023,Jefferson,153,7,20,M-F,6:00 - 5:30,Accredited Program,,accredited_program,14-Oct-05
Pembroke Park Academy,,,,5dfaa50ae79c695b3b30e0be,Sharon James,2921 SW 56th Ave.,West Park,FL,33023,US,ronmes@aol.com,954-893-0077,,9/29/2016,9/29/2018,5/2/2018,5/2/2022,Broward,95,4,10,M-F,7am-6pm,Accredited Program,,accredited_program,28-Oct-10
Step By Step Child Care Center,,,,5dfaa50ae79c695b3b30e0bf,Sharon Wedic,1420 Aquarius Circle,Ottawa,IL,61350,US,stepbystep207@gmail.com,815-433-5030,www.stepbystepccc.com,9/29/2017,9/29/2019,5/23/2019,5/23/2023,LaSalle,59,4,11,M-F,6:00 - 6:00,Accredited Program,,accredited_program,3-Jan-13
"Step by Step Child Care Center, Inc.",,,,5dfaa50ae79c695b3b30e0c0,Sharon Wedic,110 W. McKinley Road,Ottawa,IL,61350,US,stepbystep207@gmail.com,815-433-5030,www.stepbystepccc.com,6/6/2018,6/6/2020,7/18/2016,7/18/2020,La Salle,78,5,8,M-F,6:00 - 6:00,Accredited Program,,accredited_program,24-Mar-14
KinderCare Learning Center #300436,,,,5dfaa50ae79c695b3b30e0c1,Sharon Williams-Floyd,1741 Dixon Road,Gastonia,NC,28054,US,300436@kindercare.com,704-867-5347,www.kindercare.com/,3/2/2017,3/2/2019,8/7/2019,8/7/2023,Gaston,152,9,19,M-F,6:30-6:30,Accredited Program,,accredited_program,3-Dec-09
KinderCare Learning Center #301233,,,,5dfaa50be79c695b3b30e0c2,Shavodka McNutt,6000 Bartlett Center Drive,Bartlett,TN,38134,US,301233@klcorp.com;smcnutt@kindercare.com,901-373-9184,www.kindercare.com/,9/26/2016,9/26/2018,5/20/2019,5/20/2023,Shelby,135,6,16,M-F,6:30 - 6:00,Accredited Program,,accredited_program,15-Apr-05
KinderCare Learning Center #301496,,,,5dfaa50be79c695b3b30e0c3,Shavonne Thomas,4052 Huffines Blvd.,Carrollton,TX,75010,US,301496@kindercare.com,972-492-8558,www.kindercare.com/,10/19/2017,10/19/2019,10/6/2015,1/17/2020,Denton,152,6,10,M-F,6:30 - 6:30 M-F,Accredited Program,,accredited_program,7-Nov-03
"Greenbrier Learning Center II, Ltd.",,,,5dfaa50be79c695b3b30e0c4,Shawna Turner,2929 No. Hwy. 167,Catoosa,OK,74015,US,greenbrier2@att.net,918-266-3272,,3/30/2018,3/30/2020,3/31/2016,3/31/2020,Rogers,153,11,26,M-F,6:30 - 6:00,Accredited Program,,accredited_program,6-Feb-14
KinderCare Learning Center #000477,,,,5dfaa50be79c695b3b30e0c5,Shawntal Kingsley,4120 E. Ranch Circle North Drive,Phoenix,AZ,85044,US,000477@kindercare.com;skingsley@kindercare.com,480-759-9879,www.kindercare.com/,4/11/2016,4/11/2018,12/28/2017,12/28/2021,Maricopa,152,7,13,M-F,6:00 - 6:30,Accredited Program,,accredited_program,4-Jun-08
KinderCare Learning Center #000511,,,,5dfaa50be79c695b3b30e0c6,Shelby Davis,2120 Man Avenue,Mansfield,TX,76063,US,000511@kindercare.com;sdavis@kindercare.com,817-453-3844,www.kindercare.com/,12/22/2016,12/22/2018,7/30/2018,7/30/2022,Tarrant,177,6,13,M-F,6:30 - 6:30,Accredited Program,,accredited_program,7-May-13
KinderCare Learning Center #301419,,,,5dfaa50be79c695b3b30e0c7,Shellene Garza,106 Meadow Pkwy.,League City,TX,77573,US,301419@klcorp.com;shgarza@kindercare.com,281-334-5795,www.kindercare.com/,7/25/2016,7/25/2018,2/19/2018,2/19/2022,Harris,160,6,14,M-F,6:30 - 6:30,Accredited Program,,accredited_program,
"Blue Starr Kiddie Ranch, Ltd.",,,,5dfaa50be79c695b3b30e0c8,Shelley Jones,1059 W. Blue Starr Drive,Claremore,OK,74017,US,bskr@att.net,918-341-3800,,10/19/2016,10/19/2018,9/10/2018,9/10/2022,Rogers,138,9,17,M-F,6:00 - 6:00,Accredited Program,,accredited_program,6-Feb-14
Nicholson Early Childhood Education Center,,,,5dfaa50be79c695b3b30e0c9,Shelley Nicholson,"12233 RR 620 N, Ste. 201",Austin,TX,78750,US,shelley@nicholsonececenter.com,512-243-6539,nicholsonececenter.com,2/26/2019,2/26/2021,2/27/2017,2/27/2021,Williamson,85,6,14,M-F,8:00 - 3:00,Accredited Program,,accredited_program,
Hillsboro Community Child Development Center,,,,5dfaa50be79c695b3b30e0ca,Sheri Reynolds,1220 E. Tremont St.,Hillsboro,IL,62049,US,sreynolds@hillsboroschools.net,217-532-4327,hccdc.edublogs.org/,6/7/2018,6/7/2020,6/7/2016,6/7/2020,Montgomery,107,6,26,M-F,6:00-5:30,Accredited Program,,accredited_program,29-Aug-11
Sprout Childcare,,,,5dfaa50be79c695b3b30e0cb,Sherry Picha,3652 E. Avenue South,La Crosse,WI,54601,US,spicha@sproutcc.com,608-519-3999,www.sproutcc.com,11/10/2016,11/10/2018,8/27/2018,8/27/2022,La Crosse,52,5,17,M-F,5:30 - 6:30,Accredited Program,,accredited_program,24-Feb-14
Rogy's Learning Place Pekin,,,,5dfaa50be79c695b3b30e0cc,Sherry Schumm,900 Kennedy Drive,Pekin,IL,61554,US,pekin@rogys.com;director.pekin@rogys.com,309-346-1147,www.rogys.com,10/10/2017,10/10/2019,9/5/2019,9/5/2023,Tazewell,135,8,21,M-F,6:00 - 6:00,Accredited Program,,accredited_program,7-Jun-04
KinderCare Learning Center #300216,,,,5dfaa50be79c695b3b30e0cd,Sheryl Costello,3270 East Bay Drive,Largo,FL,33771,US,300216@klcorp.com,727-536-1283,www.kindercare.com,5/14/2018,5/14/2020,5/13/2016,5/13/2020,Pinellas,136,7,13,M-F,6:30 - 6:30,Accredited Program,,accredited_program,14-Dec-04
Upbringing In A Better Way,,,,5dfaa50be79c695b3b30e0ce,Shirley Durham,1801 E. Park Row Drive,Arlington,TX,76010,US,upbringinbetter@sbcglobal.net,817-303-6500,,8/28/2017,8/28/2019,11/29/2019,11/29/2023,Tarrant,121,4,12,M-F,5:30 - 6:30,Accredited Program,,accredited_program,29-Jul-15
Wee Care Child Development Center,,,,5dfaa50be79c695b3b30e0cf,Shirley Moorer,209 S. W. 10th St.,Belle Glade,FL,33430,US,weecarecdc64@aol.com,561-996-6196,,11/7/2016,11/7/2018,12/4/2018,12/4/2022,Palm Beach,97,6,17,M-F,6:30 - 5:30,Accredited Program,,accredited_program,11-May-10
Saintsville Baptist Church Academy,,,,5dfaa50be79c695b3b30e0d0,Shirley Pace,2200 Oak Hill Road,Fort Worth,TX,76112,US,shirley.pace52@gmail.com,817-451-3721,,8/17/2016,8/17/2018,4/9/2018,4/9/2022,Tarrant,189,6,12,M-F,6:00 - 6:00,Accredited Program,,accredited_program,17-Aug-16
Brentwood Presbyterian Church Preschool,,,,5dfaa50be79c695b3b30e0d1,Shiva Khalifian,12000 San Vicente Blvd.,Los Angeles,CA,90049,US,shiva.khalifian@bpcpreschool.com,310-826-2020,www.bpcpreschool.com/,3/26/2018,3/26/2020,3/28/2016,3/28/2020,Los Angeles,140,8,23,M-F,8:00 - 3:30,Accredited Program,,accredited_program,15-Jul-10
KinderCare Learning Center #000061,,,,5dfaa50be79c695b3b30e0d2,Shuntrell Brisby,7828 Bellfort,Houston,TX,77061,US,000061@klcorp.com,713 644-2763,www.kindercare.com,5/27/2016,5/27/2018,1/8/2019,1/8/2023,Harris,135,5,9,M-F,6:00 - 6:30,Accredited Program,,accredited_program,13-Jun-14
KinderCare Learning Center #301029,,,,5dfaa50be79c695b3b30e0d3,Sigrid Holail,4216 Stringfellow Road,Chantilly,VA,20151,US,301029@kindercare.com;sholail@kindercare.com,703-817-0430,www.kindercare.com/,11/15/2019,11/15/2021,11/16/2017,11/16/2021,,135,6,13,M-F,6:30 - 6:30,Accredited Program,,accredited_program,10-Jan-05
Knowledge Beginnings #072701,,,,5dfaa50be79c695b3b30e0d4,Sonya Wright-Kling,1216 E. Bethany Drive,Allen,TX,75002,US,072701@kindercare.com;swrightkling@kindercare.com,972-747-7074,www.kindercare.com/,10/29/2019,10/29/2021,11/6/2017,11/6/2021,Collin,150,8,18,M-F,6:30 - 6:30,Accredited Program,,accredited_program,
Stacey's Fun in the Sun Pre-School Inc,,,,5dfaa50be79c695b3b30e0d5,Stacey Smith and Dallas Ledford,8713 Front Beach Road,Panama City Beach,FL,32407,US,staceysfuninthesun@att.net,850-236-1297,,1/25/2018,1/25/2020,12/10/2019,12/10/2023,Bay,153,8,21,M-F,6:30 - 6:00,Accredited Program,,accredited_program,
KinderCare Learning Center #000066,,,,5dfaa50be79c695b3b30e0d6,Staci Bouma,1812 S. Aspen Road,Broken Arrow,OK,74012,US,000066@klcorp.com;sbouma@kindercare.com,918-251-2542,www.kindercare.com/,4/4/2018,4/4/2020,4/4/2016,4/4/2020,Tulsa,135,7,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,10-Jul-06
Little Scholars Academy,,,,5dfaa50be79c695b3b30e0d7,Stacy Sun and Elaine Webb,1200 W. Spring Valley Road,Richardson,TX,75080,US,admin@littlescholarsdfw.com;ewebb@littlescholarsdfw.com,972 231-6998,,4/14/2017,4/14/2019,4/4/2019,4/4/2023,Dallas,136,5,7,M-F,6:30 - 6:30,Accredited Program,,accredited_program,12-Jun-14
Little Scholars Academy,,,,5dfaa50be79c695b3b30e0d8,Stacy Sun and Jennifer Tamayo,14045 Waterfall Way,Dallas,TX,75240,US,admin@littlescholarsdfw.com;jtamayo@littlescholarsdfw.com,972-437-3277,,4/10/2017,4/10/2019,4/3/2019,4/3/2023,Dallas,93,4,7,M-F,6:30 - 6:30,Accredited Program,,accredited_program,12-Mar-14
World of Fun Child Care and Development Center,,,,5dfaa50be79c695b3b30e0d9,Steffany Bowen,3906 S. Shields Blvd.,Oklahoma City,OK,73129,US,worldoffun@coxinet.net,405-631-0225,,3/6/2017,3/6/2019,12/17/2018,12/17/2022,Oklahoma,60,6,10,M-F,6:00 - 6:00,Accredited Program,,accredited_program,19-Nov-08
KinderCare Learning Center #300213,,,,5dfaa50be79c695b3b30e0da,Stephanie Berrie,2309 S. Willis St.,Abilene,TX,79605,US,300213@klcorp.com;sberrie@kindercare.com,325-698-1878,www.kindercare.com/,9/3/2019,9/3/2021,9/6/2017,9/6/2021,Taylor,100,6,8,M-F,6:30 - 6:00,Accredited Program,,accredited_program,14-Feb-05
KinderCare Learning Center #300297,,,,5dfaa50be79c695b3b30e0db,Stephanie Clift-Bourgalt,1239 Sloan St.,Murfreesboro,TN,37130,US,300297@klcorp.com,615-890-7488,www.kindercare.com/,10/15/2018,10/15/2020,10/17/2016,10/17/2020,Rutnerford,99,6,8,M-F,6:00 - 6:00,Accredited Program,,accredited_program,6-Dec-04
Children's Garden Learning Center,,,,5dfaa50be79c695b3b30e0dc,Stephanie Emery,1 Garden Drive,Carlinville,IL,62626,US,cglcdirector@frontier.com,217-854-2226,,12/27/2018,12/27/2020,12/27/2016,12/27/2020,Macoupin,125,7,26,M-F,6:30 - 6:00,Accredited Program,,accredited_program,22-May-14
Rogy's Learning Place Big Hollow,,,,5dfaa50be79c695b3b30e0dd,Stephanie Jones,6101 N. Big Hollow Road,Peoria,IL,61615,US,bhollow@rogys.com,309-693-9611,www.rogys.com,10/13/2017,10/13/2019,6/10/2019,6/10/2023,Peoria,143,8,23,M-F,6:30 - 6:00,Accredited Program,,accredited_program,19-Mar-04
Bluebonnet School of Cedar Park,,,,5dfaa50be79c695b3b30e0de,Stephanie Lewis,3420 El Salido Parkway,Cedar Park,TX,78613,US,headofschoolcp@bluebonnetschool.com,512-331-9009,nchick@bluebonnetschool.com Nancy Chick-owner,10/28/2016,10/28/2018,6/25/2018,6/25/2022,Williamson,303,16,42,M-F,6:30-6:30,Accredited Program,,accredited_program,7-Apr-06
SCC Bigfoot Head Start Child Care Center,,,,5dfaa50ce79c695b3b30e0df,Stephanie Lynch,1810 N. Greene St. MS2120,Spokane,WA,99217,US,stephanie.lynch@ccs.spokane.edu,509-533-7170,,8/29/2016,8/29/2018,4/30/2018,4/30/2022,Spokane,80,7,24,,6:30 - 10 :00,Accredited Program,,accredited_program,24-Jul-06
"Kountry Kids Learning Center, Inc.",,,,5dfaa50ce79c695b3b30e0e0,Stephanie Neuman,113 East 1st Street,New Berlin,IL,62670,US,kklcberlin@gmail.com,217-488-2273,www.kountrykidslearningcenter.com,1/27/2017,1/27/2019,4/16/2019,4/16/2023,Sangamon,96,7,22,M-F,6:30 - 6:00,Accredited Program,,accredited_program,8-Dec-10
KinderCare Learning Center #301010,,,,5dfaa50ce79c695b3b30e0e1,Stephanie Savoy,4287 Buckman Road,Alexandria,VA,22309,US,301010@klcorp.com,703-360-1045,www.kindercare.com/,12/3/2019,12/3/2021,11/27/2017,11/27/2021,Fairfax,90,6,10,M-F,6:30 - 6:30,Accredited Program,,accredited_program,20-Jul-09
KinderCare Learning Center #301270,,,,5dfaa50ce79c695b3b30e0e2,Stephanie Sorn,7906 S. Cass Ave.,Darien,IL,60561,US,301270@klcorp.com;darien@kindercare.com,630-964-9094,www.kindercare.com/,7/26/2018,7/26/2020,7/27/2016,7/27/2020,DuPage,127,6,12,M-F,6:15 - 6:15,Accredited Program,,accredited_program,24-Apr-08
THE Children's Academy at Hospitots,,,,5dfaa50ce79c695b3b30e0e3,Stephanie Tankersley,1219 Trotwood Ave.,Columbia,TN,38401,US,stankersley@hospitots.info,931-380-2920,www.childrensacademytn.com,7/13/2018,7/13/2020,7/27/2016,7/27/2020,Maury,120,7,17,M-F,6:00 - 6:00,Accredited Program,,accredited_program,26-Mar-03
KinderCare Learning Center #000738,,,,5dfaa50ce79c695b3b30e0e4,Stephanie Taylor,37201 Ryan Road,Sterling Heights,MI,48310,US,000738@klcorp.com,586-268-1680,www.kindercare.com/,11/15/2018,11/15/2020,11/16/2016,11/16/2020,Macomb,97,6,17,M-F,6:00 - 6:00,Accredited Program,,accredited_program,27-Apr-10
Milestones Learning Center,,,,5dfaa50ce79c695b3b30e0e5,Steven Hacker,11505 E. 76th St. N.,Owasso,OK,74055,US,steve@milestonelc.com,918-272-6607,,5/6/2015,5/6/2017,2/1/2019,2/1/2020,Tulsa,90,7,12,M-F,6:30 - 6:00,Accredited Program,,accredited_program,11-May-15
"Little Beginnings Academy, LLC",,,,5dfaa50ce79c695b3b30e0e6,Sucely Lopez,391 Valley Forge Road,West Palm Beach,FL,33405,US,littlebeginningsacademyllc@gmail.com,561-585-0032,,2/16/2016,2/16/2018,10/10/2019,10/10/2023,Palm Beach,57,5,9,M-F,7:00 - 6:00,Accredited Program,,accredited_program,12-Aug-09
RCMA Irene M Walker Child Development Center,,,,5dfaa50ce79c695b3b30e0e7,Susan Crockett and Rochelle F. Singleton,157 South County Road 21,Hawthorne,FL,32640,US,valaria@rcma.org,352-481-1930,www.rcma.org,5/23/2017,5/23/2019,6/3/2019,6/3/2023,Putnam,77,5,18,M-F,7:00 to 5:00,Accredited Program,,accredited_program,13-Oct-10
RCMA Crescent City CDC,,,,5dfaa50ce79c695b3b30e0e8,Toni Williams,"849 Bay Lane, Apt. N-2",Crescent City,FL,32112,US,toniw@rcma.org,386-698-4314,www.rcma.org,3/6/2017,3/6/2019,1/25/2019,1/25/2023,Putnam,80,3,12,M-F,7:00 - 5:00,Accredited Program,,accredited_program,8-Jun-10
Creative Learning Center,,,,5dfaa50ce79c695b3b30e0e9,Susan Hill,9614 River Road,Richmond,VA,23229,US,shill@clcrichmond.org,804-740-9342,clcrichmond.org,2/20/2018,2/20/2020,2/23/2016,2/23/2020,Henrico,104,14,30,M-F,7:45 - 5:30,Accredited Program,,accredited_program,1-Aug-07
KinderCare Learning Center #300249,,,,5dfaa50ce79c695b3b30e0ea,Sydney Alexander,19151 Timber Forest Drive,Humble,TX,77346,US,300249@klcorp.com;timberforest@kindercare.com,281-852-3888,,6/17/2019,6/17/2021,7/3/2017,7/3/2021,Harris,111,6,9,M-F,6:00 - 6:30,Accredited Program,,accredited_program,23-Mar-09
Union Christian Academy,,,,5dfaa50ce79c695b3b30e0eb,Sylvia Martin,3312 S. Polk St.,Dallas,TX,75224,US,unionacademy@swbell.net;smartin_ucacademy@sbcglobal.net,214 372-9822,,12/4/2018,12/4/2020,12/9/2016,12/9/2020,Dallas,183,7,10,M-F,6:30 - 6:00,Accredited Program,,accredited_program,11-Jul-14
South Texas College Mid-Valley Campus Child Development Center,,,,5dfaa50ce79c695b3b30e0ec,Sylvia Serrano,401 North Republic,Weslaco,TX,78596,US,sserrano@southtexascollege.edu,956-447-1254,southtexascollege.edu,2/20/2019,2/20/2021,3/20/2017,3/20/2021,Hildalgo,100,6,15,M-F,7:30 - 5:30,Accredited Program,,accredited_program,6-Jun-08
All About Learning - Oconomowoc,,,,5dfaa50ce79c695b3b30e0ed,Tabatha Boyd,1060 Oconomowoc Pkwy.,Oconomowoc,WI,53066,US,oconomowoc@aalchildcare.com,262-569-9989,aalchildcare.com/oconomowoc.html,7/2/2018,7/2/2020,7/6/2016,7/6/2020,Waukesha,120,8,18,M-F,5:45 - 6:15,Accredited Program,,accredited_program,11-Mar-03
